Year,by types of economic activity,by the organisational and legal forms,Region,Number of employees,Value
2018,"retail sale of computers, peripheral units and software in specialised stores",,,,
2019,"retail sale of computers, peripheral units and software in specialised stores",,,,
2020,"retail sale of computers, peripheral units and software in specialised stores",,,,
2021,"retail sale of computers, peripheral units and software in specialised stores",,,,19.5
2022,"retail sale of computers, peripheral units and software in specialised stores",,,,19.4
2023,"retail sale of computers, peripheral units and software in specialised stores",,,,21.7
2024,"retail sale of computers, peripheral units and software in specialised stores",,,,23.3
2015,retail sale of telecommunications equipment in specialised stores,,,,
2016,retail sale of telecommunications equipment in specialised stores,,,,
2017,retail sale of telecommunications equipment in specialised stores,,,,
2018,retail sale of telecommunications equipment in specialised stores,,,,
2019,retail sale of telecommunications equipment in specialised stores,,,,
2020,retail sale of telecommunications equipment in specialised stores,,,,
2021,retail sale of telecommunications equipment in specialised stores,,,,23.2
2022,retail sale of telecommunications equipment in specialised stores,,,,26.4
2023,retail sale of telecommunications equipment in specialised stores,,,,23.1
2024,retail sale of telecommunications equipment in specialised stores,,,,27.1
2015,retail sale of audio and video equipment in specialised stores,,,,
2016,retail sale of audio and video equipment in specialised stores,,,,
2017,retail sale of audio and video equipment in specialised stores,,,,
2018,retail sale of audio and video equipment in specialised stores,,,,
2019,retail sale of audio and video equipment in specialised stores,,,,
2020,retail sale of audio and video equipment in specialised stores,,,,
2021,retail sale of audio and video equipment in specialised stores,,,,23.3
2022,retail sale of audio and video equipment in specialised stores,,,,18.9
2023,retail sale of audio and video equipment in specialised stores,,,,19.7
2024,retail sale of audio and video equipment in specialised stores,,,,27.4
2015,retail sale of textiles in specialised stores,,,,
2016,retail sale of textiles in specialised stores,,,,
2017,retail sale of textiles in specialised stores,,,,
2018,retail sale of textiles in specialised stores,,,,
2019,retail sale of textiles in specialised stores,,,,
2020,retail sale of textiles in specialised stores,,,,
2021,retail sale of textiles in specialised stores,,,,52.8
2022,retail sale of textiles in specialised stores,,,,45.5
2023,retail sale of textiles in specialised stores,,,,45.7
2024,retail sale of textiles in specialised stores,,,,42.9
2015,"retail sale of hardware, paints and glass in specialised stores",,,,
2016,"retail sale of hardware, paints and glass in specialised stores",,,,
2017,"retail sale of hardware, paints and glass in specialised stores",,,,
2018,"retail sale of hardware, paints and glass in specialised stores",,,,
2019,"retail sale of hardware, paints and glass in specialised stores",,,,
2020,"retail sale of hardware, paints and glass in specialised stores",,,,
2021,"retail sale of hardware, paints and glass in specialised stores",,,,27.1
2022,"retail sale of hardware, paints and glass in specialised stores",,,,26.2
2023,"retail sale of hardware, paints and glass in specialised stores",,,,23.6
2024,"retail sale of hardware, paints and glass in specialised stores",,,,25.6
2015,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,,
2016,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,,
2017,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,,
2018,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,,
2019,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,,
2020,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,,
2021,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,,37.0
2022,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,,36.0
2023,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,,28.6
2024,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,,43.5
2015,retail sale of electrical household appliances in specialised stores,,,,
2016,retail sale of electrical household appliances in specialised stores,,,,
2017,retail sale of electrical household appliances in specialised stores,,,,
2018,retail sale of electrical household appliances in specialised stores,,,,
2019,retail sale of electrical household appliances in specialised stores,,,,
2020,retail sale of electrical household appliances in specialised stores,,,,
2021,retail sale of electrical household appliances in specialised stores,,,,20.5
2022,retail sale of electrical household appliances in specialised stores,,,,17.6
2023,retail sale of electrical household appliances in specialised stores,,,,15.8
2024,retail sale of electrical household appliances in specialised stores,,,,22.5
2015,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,,
2016,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,,
2017,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,,
2018,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,,
2019,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,,
2020,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,,
2021,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,,36.3
2022,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,,38.6
2023,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,,37.8
2024,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,,40.2
2015,retail sale of books in specialised stores,,,,
2016,retail sale of books in specialised stores,,,,
2017,retail sale of books in specialised stores,,,,
2018,retail sale of books in specialised stores,,,,
2019,retail sale of books in specialised stores,,,,
2020,retail sale of books in specialised stores,,,,
2021,retail sale of books in specialised stores,,,,65.5
2022,retail sale of books in specialised stores,,,,62.5
2023,retail sale of books in specialised stores,,,,66.2
2024,retail sale of books in specialised stores,,,,64.0
2015,retail sale of newspapers and stationery in specialised stores,,,,
2016,retail sale of newspapers and stationery in specialised stores,,,,
2017,retail sale of newspapers and stationery in specialised stores,,,,
2018,retail sale of newspapers and stationery in specialised stores,,,,
2019,retail sale of newspapers and stationery in specialised stores,,,,
2020,retail sale of newspapers and stationery in specialised stores,,,,
2021,retail sale of newspapers and stationery in specialised stores,,,,44.0
2022,retail sale of newspapers and stationery in specialised stores,,,,42.5
2023,retail sale of newspapers and stationery in specialised stores,,,,37.2
2024,retail sale of newspapers and stationery in specialised stores,,,,30.5
2015,retail sale of music and video recordings in specialised stores,,,,
2016,retail sale of music and video recordings in specialised stores,,,,
2017,retail sale of music and video recordings in specialised stores,,,,
2018,retail sale of music and video recordings in specialised stores,,,,
2019,retail sale of music and video recordings in specialised stores,,,,
2020,retail sale of music and video recordings in specialised stores,,,,
2021,retail sale of music and video recordings in specialised stores,,,,
2022,retail sale of music and video recordings in specialised stores,,,,
2023,retail sale of music and video recordings in specialised stores,,,,
2024,retail sale of music and video recordings in specialised stores,,,,
2015,retail sale of sporting equipment in specialised stores,,,,
2016,retail sale of sporting equipment in specialised stores,,,,
2017,retail sale of sporting equipment in specialised stores,,,,
2018,retail sale of sporting equipment in specialised stores,,,,
2019,retail sale of sporting equipment in specialised stores,,,,
2020,retail sale of sporting equipment in specialised stores,,,,
2021,retail sale of sporting equipment in specialised stores,,,,24.0
2022,retail sale of sporting equipment in specialised stores,,,,20.9
2023,retail sale of sporting equipment in specialised stores,,,,19.0
2024,retail sale of sporting equipment in specialised stores,,,,14.0
2015,retail sale of games and toys in specialised stores,,,,
2016,retail sale of games and toys in specialised stores,,,,
2017,retail sale of games and toys in specialised stores,,,,
2018,retail sale of games and toys in specialised stores,,,,
2019,retail sale of games and toys in specialised stores,,,,
2020,retail sale of games and toys in specialised stores,,,,
2021,retail sale of games and toys in specialised stores,,,,34.5
2022,retail sale of games and toys in specialised stores,,,,50.0
2023,retail sale of games and toys in specialised stores,,,,38.5
2024,retail sale of games and toys in specialised stores,,,,37.5
2015,retail sale of clothing in specialised stores,,,,
2016,retail sale of clothing in specialised stores,,,,
2017,retail sale of clothing in specialised stores,,,,
2018,retail sale of clothing in specialised stores,,,,
2019,retail sale of clothing in specialised stores,,,,
2020,retail sale of clothing in specialised stores,,,,
2021,retail sale of clothing in specialised stores,,,,45.1
2022,retail sale of clothing in specialised stores,,,,36.9
2023,retail sale of clothing in specialised stores,,,,38.4
2024,retail sale of clothing in specialised stores,,,,42.5
2015,retail sale of footwear and leather goods in specialised stores,,,,
2016,retail sale of footwear and leather goods in specialised stores,,,,
2017,retail sale of footwear and leather goods in specialised stores,,,,
2018,retail sale of footwear and leather goods in specialised stores,,,,
2019,retail sale of footwear and leather goods in specialised stores,,,,
2020,retail sale of footwear and leather goods in specialised stores,,,,
2021,retail sale of footwear and leather goods in specialised stores,,,,43.5
2022,retail sale of footwear and leather goods in specialised stores,,,,44.1
2023,retail sale of footwear and leather goods in specialised stores,,,,48.5
2024,retail sale of footwear and leather goods in specialised stores,,,,57.1
2015,dispensing chemist in specialised stores,,,,
2016,dispensing chemist in specialised stores,,,,
2017,dispensing chemist in specialised stores,,,,
2018,dispensing chemist in specialised stores,,,,
2019,dispensing chemist in specialised stores,,,,
2020,dispensing chemist in specialised stores,,,,
2021,dispensing chemist in specialised stores,,,,51.6
2022,dispensing chemist in specialised stores,,,,51.5
2023,dispensing chemist in specialised stores,,,,52.4
2024,dispensing chemist in specialised stores,,,,53.5
2015,retail sale of medical and orthopaedic goods in specialised stores,,,,
2016,retail sale of medical and orthopaedic goods in specialised stores,,,,
2017,retail sale of medical and orthopaedic goods in specialised stores,,,,
2018,retail sale of medical and orthopaedic goods in specialised stores,,,,
